,,
group,word,fix_time
N3,Zgrzeszenie,0.62801595154328538
N3,Drewno,1.3807051075866019
N3,Drewno,1.4346125863350463
N3,Drewno,1.0060315038328735
N3,Drewno,1.495869183468058
N3,Egoizm,0.66023934411803198
N3,Drewno,1.3818065899269034
N3,Drewno,0.7537216953027629
N3,Wstyd,0.56881350063017033
N3,Drewno,0.95070456982833706
N3,Drewno,0.81462207897370076
N3,Tchórzostwo,1.3205728752929227
N3,Drewno,1.0014579030143747
N3,Drewno,1.0936097797113167
N3,Drewno,0.66398360996551264
N3,Zawiedzenie,0.98814018793735803
N3,Drewno,0.96877153385632919
N3,Drewno,0.66119154453586249
N3,Drewno,0.78422142487793089
N3,Zawstydzenie,0.90376232587762706
N3,Drewno,0.54423355558573727
N3,Drewno,0.76846983537837454
N3,Drewno,0.88281407051079863
N3,Drewno,0.87935992356580073
N3,Obojętność,0.94383851893684911
N3,Drewno,1.3418402760559092
N3,Drewno,0.87197341630608316
N3,Drewno,0.89647036180824624
N3,Drewno,1.050835338343443
N3,Zażenowanie,1.2199900668760042
N3,Drewno,0.96779787609298873
N3,Drewno,0.91549758778075485
N3,Drewno,0.98181023919033672
N3,Drewno,0.51954756203459107
N3,Drewno,0.58480405409988989
N3,Drewno,0.72039683911329411
N3,Hańba,1.0818866521714421
N3,Drewno,0.88897163117979727
N3,Drewno,0.75724390245993578
N3,Niesłowność,1.2535193924323713
N3,Drewno,1.2417908677201388
N3,Drewno,0.59669748727590888
N3,Drewno,1.0568084912369038
N3,Drewno,1.2702631065354058
N3,Kompromitacja,1.4305902326418634
N3,Drewno,1.0637810724884291
N3,Drewno,0.71995218506803327
N3,Nieczułość,0.55240587382714801
N3,Drewno,0.63913119433001653
N3,Drewno,1.4867541369004602
N3,Drewno,1.4343669764770932
P3,Punktualność,0.79977846487037552
P3,Drewno,1.2117652409666801
P3,Drewno,0.94522027503874373
P3,Satysfakcja,1.4964359441454387
P3,Drewno,0.82868774409146606
P3,Honor,1.178868569941494
P3,Drewno,1.1180589599401367
P3,Drewno,1.4366670703939275
P3,Drewno,0.95060056502312706
P3,Wytrwałość,0.63319731891699849
P3,Drewno,0.70014351870463176
P3,Drewno,1.2869267566065208
P3,Człowieczeństwo,1.3980054864409253
P3,Drewno,1.0668621081364908
P3,Drewno,1.4871627544806576
P3,Drewno,0.7967480022212251
P3,Drewno,0.91675896624985687
P3,Drewno,0.72702574865449909
P3,Obowiązkowość,0.74318300528249237
P3,Drewno,1.448596840027617
P3,Drewno,0.70872015146300604
P3,Drewno,1.2470900366147855
P3,Drewno,1.483325316851738
P3,Duma,1.0161633491335653
P3,Drewno,1.0979202550580442
P3,Drewno,1.4856986872728288
P3,Godność,1.1097140704388204
P3,Drewno,0.97892242496612969
P3,Drewno,0.70860426567934198
P3,Drewno,0.92411703497415432
P3,Odwaga,0.74870559448811902
P3,Drewno,1.0374977168557491
P3,Ulepszenie,1.4367460925830742
P3,Drewno,0.99946131608864408
P3,Sumienność,0.70405962026590474
P3,Drewno,1.0675975791266987
P3,Drewno,1.1850361336403237
P3,Drewno,0.55591694258705959
P3,Drewno,1.2074490402475351
P3,Drewno,1.3292622951230966
P3,Drewno,1.1949580832101048
P3,Systematyczność,1.0647104936947249
P3,Drewno,0.78670019754082876
P3,Drewno,1.391857855084321
N1,Cierpienie,1.1461811374350903
N1,Drewno,1.1767636150097522
N1,Drewno,0.67515450675000854
N1,Drewno,0.6525860799959633
N1,Drewno,1.1140184766823773
N1,Drewno,0.90433101164876406
N1,Przemoc,0.75857618452479836
N1,Drewno,1.4464069210739128
N1,Drewno,0.88237784814146936
N1,Przerażenie,1.1091145549846391
N1,Drewno,0.6632615346538131
N1,Drewno,1.2938590269145762
N1,Bezradność,0.62955892764269594
N1,Drewno,1.081624515070549
N1,Drewno,1.0349542492894335
N1,Drewno,1.3841817170889108
N1,Choroba,1.0722890106991545
N1,Drewno,1.1897377408672445
N1,Drewno,0.79910807730958655
N1,Drewno,1.1106093946720623
N1,Drewno,1.1084424928576171
N1,Drewno,1.4425891728918971
N1,Śmierć,1.0440727469920272
N1,Drewno,1.2853013374041626
N1,Drewno,1.4695871414727948
N1,Zagrożenie,1.2630799309961269
N1,Drewno,0.98692956896827311
N1,Drewno,0.50642337782471936
N1,Panika,1.4536210043392086
N1,Drewno,0.77248093767037895
N1,Frustracja,0.76396921919906091
N1,Drewno,0.5653022605009641
N1,Drewno,1.3020297609650484
N1,Drewno,0.7150425374589614
N1,Drewno,1.4289644336108167
N1,Drewno,1.0372260266270721
N1,Drewno,0.64067189127160795
N1,Zakażenie,1.2170209551012672
N1,Drewno,1.1707949907289623
N1,Drewno,1.0245209882054289
N1,Drewno,0.55506771924014875
N1,Drewno,0.92201140930357106
N1,Załamanie,1.168631944685949
N1,Drewno,0.50217772918723524
N1,Zniewolenie,0.54985036826494604
N1,Drewno,0.5236911250132974
N1,Drewno,0.80050388800570971
N1,Drewno,1.1341100870656526
P1,Uwolnienie,1.4333409643422368
P1,Drewno,0.63857339992678142
P1,Drewno,0.93661757853294858
P1,Drewno,0.92305598181126214
P1,Uratowanie,1.0722258395438284
P1,Drewno,1.2245213270516568
P1,Oczyszczenie,0.59288138462196505
P1,Drewno,1.2846062834351288
P1,Drewno,1.2623152247802076
P1,Odzyskanie,1.3846981812201238
P1,Drewno,1.2980814183733396
P1,Drewno,1.4824254339800254
P1,Ukojenie,0.78242753471449311
P1,Drewno,0.50122622736634681
P1,Drewno,0.84960745707076446
P1,Drewno,1.0218211947536515
