,ID,number,1_up,1_down,1_left,1_right,1_time,1_file_name,2_up,2_down,2_left,2_right,2_time,2_file_name,3_up,3_down,3_left,3_right,3_time,3_file_name,4_up,4_down,4_left,4_right,4_time,4_file_name,5_up,5_down,5_left,5_right,5_time,5_file_name
0,2,1,1,1,1,1,2015-01-16_09-09-25,,,,,,,,,,,,,,,,,,,,,,,,,
1,test_cognitive_motor,5,0.7,0.7,0.7,0.7,2015-01-19_20-24-30,,0.8346446092,0.447656837,0.714805951,0.6337344053,2015-03-07_10-34-46,u'test_cognitive_motor_ventures_calibration_2015-03-07_10-33-03',0.7826969549,0.4644073617,0.7066341834,0.6154128124,2015-03-07_10-56-31,u'test_cognitive_motor_ventures_calibration_2015-03-07_10-55-51',0.7507129856,0.7120859462,0.7018686079,0.7399956958,2015-03-07_11-04-15,u'test_cognitive_motor_ventures_calibration_2015-03-07_11-03-46',0.7046495327,0.7101157744,0.642259674,0.7302256151,2015-03-07_11-05-13,u'test_cognitive_motor_ventures_calibration_2015-03-07_11-04-30'
2,test_motor,1,0.7,0.7,0.7,0.7,2015-01-27_19-18-53,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB12,3,0.69,0.69,0.69,0.69,2016-09-27_16-55-30,u'AB12_ventures_calibration_2016-09-27_16-54-56',-1.0,-1.0,-1.0,-1.0,2016-09-29_11-11-32,u'AB12_ventures_calibration_2016-09-29_11-11-21',-1.0,-1.0,-1.0,-1.0,2016-09-29_11-12-56,u'AB12_ventures_calibration_2016-09-29_11-12-47',,,,,,,,,,,,
