,ID,number,1_xa,1_ya,1_xb,1_yb,1_xc,1_yc,1_file_name,1_time,2_xa,2_ya,2_xb,2_yb,2_xc,2_yc,2_file_name,2_time,3_xa,3_ya,3_xb,3_yb,3_xc,3_yc,3_file_name,3_time,4_xa,4_ya,4_xb,4_yb,4_xc,4_yc,4_file_name,4_time,5_xa,5_ya,5_xb,5_yb,5_xc,5_yc,5_file_name,5_time,6_xa,6_ya,6_xb,6_yb,6_xc,6_yc,6_file_name,6_time,7_xa,7_ya,7_xb,7_yb,7_xc,7_yc,7_file_name,7_time,8_xa,8_ya,8_xb,8_yb,8_xc,8_yc,8_file_name,8_time,9_xa,9_ya,9_xb,9_yb,9_xc,9_yc,9_file_name,9_time,10_xa,10_ya,10_xb,10_yb,10_xc,10_yc,10_file_name,10_time
0,2,1,1,0,0,1,0,0,,2015-01-16_09-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,test_cognitive_motor,5,1,0,0,1.1,0,0,test_cognitive_motor_ventures_baseline_2015-01-19_20-14-17,2015-01-19_20-15-10,1,0,0,1.1,0,0,test_cognitive_motor_ventures_baseline_2015-01-19_20-19-40,2015-01-19_20-19-51,0.6999066476,0.003943129,-0.0081281284,0.7206351556,-0.0081281284,0.003943129,test_cognitive_motor_ventures_baseline_2015-07-08_13-33-52,2015-07-08_13-34-12,0.1038642979,-0.7158238604,0.1265159079,0.2445964003,0.1265159079,-0.7158238604,test_cognitive_motor_ventures_baseline_2015-07-08_13-55-05,2015-07-08_13-55-49,0.0906855077,-0.2801843387,-0.0041933153,0.1423459724,-0.0041933153,-0.2801843387,test_cognitive_motor_ventures_baseline_2015-07-08_14-01-17,2015-07-08_14-02-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,test_motor,3,0.9836418127,-0.0326332783,0.0036746595,0.9674385909,0.0036746595,-0.0326332783,test_motor_ventures_baseline_2015-01-27_19-18-04,2015-01-27_19-18-22,0.7927197118,-0.0206456687,-0.0232127321,0.6851921192,-0.0232127321,-0.0206456687,test_motor_ventures_baseline_2015-03-24_12-25-17,2015-03-24_12-25-27,0.1224752315,-0.2885216408,-0.0233409763,0.2943830089,-0.0233409763,-0.2885216408,test_motor_ventures_baseline_2015-07-08_14-07-42,2015-07-08_14-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LP,3,0.0280694911,-0.2034625526,-0.1017348928,0.0984405925,-0.1017348928,-0.2034625526,LP_ventures_baseline_2015-02-02_11-29-33,2015-02-02_11-30-17,0.0358191329,-0.2128956139,-0.0423071008,0.1294335195,-0.0423071008,-0.2128956139,LP_ventures_baseline_2015-02-03_11-13-40,2015-02-03_11-14-24,0.0162491879,-0.1681397837,-0.0308984816,0.1047202975,-0.0308984816,-0.1681397837,LP_ventures_baseline_2015-02-04_08-18-28,2015-02-04_08-19-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ML,4,0.0528837384,-0.3801260626,-0.0557687312,0.1028676408,-0.0557687312,-0.3801260626,ML_ventures_baseline_2015-02-02_08-49-26,2015-02-02_08-50-19,0.0859725851,-0.4145152578,-0.0082656835,0.1191993123,-0.0082656835,-0.4145152578,ML_ventures_baseline_2015-02-03_08-15-41,2015-02-03_08-16-48,0.0282794686,-0.4429592469,0.0229655642,0.2118998989,0.0229655642,-0.4429592469,ML_ventures_baseline_2015-02-04_11-53-41,2015-02-04_11-54-18,0.0199341631,-0.3635609548,0.0247166019,0.1046002615,0.0247166019,-0.3635609548,ML_ventures_baseline_2015-02-04_11-55-14,2015-02-04_11-55-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SC,5,0.0337662807,-0.3041705987,-0.0423878488,0.0917286236,-0.0423878488,-0.3041705987,SC_ventures_baseline_2015-02-06_20-01-06,2015-02-06_20-02-51,0.0439528112,-0.3479214724,-0.0156258118,0.0829095038,-0.0156258118,-0.3479214724,SC_ventures_baseline_2015-02-07_09-04-15,2015-02-07_09-05-32,0.1057913669,-0.2977727331,0.0149708833,0.2056736549,0.0149708833,-0.2977727331,SC_ventures_baseline_2015-02-07_14-27-01,2015-02-07_14-28-22,0.0889924514,-0.2735402422,-0.0377115075,0.1571694899,-0.0377115075,-0.2735402422,SC_ventures_baseline_2015-02-08_09-07-09,2015-02-08_09-07-54,0.0250544594,-0.2532789502,-0.0169537793,0.1246381782,-0.0169537793,-0.2532789502,SC_ventures_baseline_2015-02-08_14-27-11,2015-02-08_14-27-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MC,6,0.0168485065,-0.3067022238,-0.0181718933,0.0693972617,-0.0181718933,-0.3067022238,MC_ventures_baseline_2015-02-07_10-14-53,2015-02-07_10-15-37,0.0646510213,-0.1783087927,-0.047179365,0.075018883,-0.047179365,-0.1783087927,MC_ventures_baseline_2015-02-07_13-07-13,2015-02-07_13-07-55,0.0392644106,-0.3856007053,-0.0063850163,0.0753828801,-0.0063850163,-0.3856007053,MC_ventures_baseline_2015-02-07_18-34-25,2015-02-07_18-35-02,0.0373634151,-0.2591792529,-0.0400089256,0.1097357176,-0.0400089256,-0.2591792529,MC_ventures_baseline_2015-02-08_10-43-49,2015-02-08_10-44-55,0.1481855023,-0.3014437672,-0.0651905412,0.1179839357,-0.0651905412,-0.3014437672,MC_ventures_baseline_2015-02-08_13-31-50,2015-02-08_13-32-27,0.0434013657,-0.3525536136,-0.0188054715,0.1016603727,-0.0188054715,-0.3525536136,MC_ventures_baseline_2015-02-08_16-04-14,2015-02-08_16-04-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MK,3,0.0196592141,-0.2617714506,-0.009160317,0.1383595443,-0.009160317,-0.2617714506,MK_ventures_baseline_2015-02-16_15-39-02,2015-02-16_15-39-49,0.0835234556,-0.3027678675,0.0534116318,0.1630471335,0.0534116318,-0.3027678675,MK_ventures_baseline_2015-02-17_08-30-19,2015-02-17_08-31-04,0.0429670719,-0.3970688738,0.0063501591,0.1251331445,0.0063501591,-0.3970688738,MK_ventures_baseline_2015-02-18_08-34-04,2015-02-18_08-34-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MP,3,0.0193093771,-0.3263266924,0.0142024747,0.0928167517,0.0142024747,-0.3263266924,MP_ventures_baseline_2015-02-16_16-36-03,2015-02-16_16-36-43,0.0512688806,-0.1801262555,-0.0312140849,0.1657572756,-0.0312140849,-0.1801262555,MP_ventures_baseline_2015-02-18_09-39-59,2015-02-18_09-40-49,0.0442265765,-0.2780118469,0.0146387458,0.1176185563,0.0146387458,-0.2780118469,MP_ventures_baseline_2015-02-19_15-02-14,2015-02-19_15-02-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JT,3,0.0296488251,-0.2092579385,0.072605484,0.1035954273,0.072605484,-0.2092579385,JT_ventures_baseline_2015-02-17_10-04-12,2015-02-17_10-04-45,0.0286600798,-0.3135773304,0.0499004175,0.1498060171,0.0499004175,-0.3135773304,JT_ventures_baseline_2015-02-18_11-27-01,2015-02-18_11-27-39,0.0210144346,-0.3658555654,0.0448159875,0.1052487628,0.0448159875,-0.3658555654,JT_ventures_baseline_2015-02-23_16-28-11,2015-02-23_16-28-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PS,3,0.0166476919,-0.0558144687,-0.0477108168,0.0871664223,-0.0477108168,-0.0558144687,PS_ventures_baseline_2015-02-17_09-39-19,2015-02-17_09-40-07,0.0177244275,-0.2277287736,0.0058460753,0.1107207338,0.0058460753,-0.2277287736,PS_ventures_baseline_2015-02-18_09-21-24,2015-02-18_09-22-01,0.0154789716,-0.2236743984,0.0419995547,0.141903573,0.0419995547,-0.2236743984,PS_ventures_baseline_2015-02-19_17-11-18,2015-02-19_17-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PE23,8,0.0147134884,-0.3972231339,-0.0128240702,0.0729624229,-0.0128240702,-0.3972231339,PE23_ventures_baseline_2015-02-21_12-20-29,2015-02-21_12-21-07,0.0108437108,-0.3502642371,0.0200224807,0.0889627381,0.0200224807,-0.3502642371,PE23_ventures_baseline_2015-03-07_12-07-17,2015-03-07_12-09-10,0.0277579177,-0.2003808808,0.0016315363,0.0908280904,0.0016315363,-0.2003808808,PE23_ventures_baseline_2015-03-07_12-09-18,2015-03-07_12-09-57,0.0181449551,-0.3733315771,-0.0245873163,0.1240493466,-0.0245873163,-0.3733315771,PE23_ventures_baseline_2015-03-08_16-34-42,2015-03-08_16-35-41,0.0177340312,-0.1802911239,-0.0109695866,0.1128426769,-0.0109695866,-0.1802911239,PE23_ventures_baseline_2015-03-08_16-35-48,2015-03-08_16-36-22,0.013894028,-0.3547198599,-0.0167022038,0.0522689661,-0.0167022038,-0.3547198599,PE23_ventures_baseline_2015-03-10_18-19-50,2015-03-10_18-20-58,0.0229545157,-0.1303299834,-0.0035615948,0.0836040165,-0.0035615948,-0.1303299834,PE23_ventures_baseline_2015-03-10_18-21-12,2015-03-10_18-21-53,0.0153215602,-0.3962719852,-0.0081090291,0.0653537399,-0.0081090291,-0.3962719852,PE23_ventures_baseline_2015-03-18_19-01-56,2015-03-18_19-02-46,,,,,,,,,,,,,,,,
12,DW25,7,0.0194088084,-0.2735048342,0.0008537229,0.1079120831,0.0008537229,-0.2735048342,DW25_ventures_baseline_2015-03-10_12-29-08,2015-03-10_12-30-18,0.0225600861,-0.2296403494,-0.003994483,0.1018446585,-0.003994483,-0.2296403494,DW25_ventures_baseline_2015-03-12_14-51-32,2015-03-12_14-52-28,0.0188743427,-0.2959093907,-0.0090333445,0.0975732584,-0.0090333445,-0.2959093907,DW25_ventures_baseline_2015-03-13_09-59-33,2015-03-13_10-00-54,0.0138106665,-0.2601948945,-0.0127496067,0.1131215039,-0.0127496067,-0.2601948945,DW25_ventures_baseline_2015-03-13_10-01-02,2015-03-13_10-01-38,0.0228917462,-0.266916204,-0.0256867858,0.0607350403,-0.0256867858,-0.266916204,DW25_ventures_baseline_2015-03-16_09-20-29,2015-03-16_09-21-44,0.0122196182,-0.3381914698,-0.0199144067,0.0880544451,-0.0199144067,-0.3381914698,DW25_ventures_baseline_2015-03-18_09-20-37,2015-03-18_09-21-24,0.0251094903,-0.332661886,-0.0137280606,0.1215001633,-0.0137280606,-0.332661886,DW25_ventures_baseline_2015-03-20_09-57-12,2015-03-20_09-58-28,,,,,,,,,,,,,,,,,,,,,,,,
13,IZ29,6,0.0193986105,-0.0411604936,-0.016371392,0.1116265076,-0.016371392,-0.0411604936,IZ29_ventures_baseline_2015-03-23_11-02-03,2015-03-23_11-03-11,0.0122969764,-0.1579797576,-0.0068791967,0.0706337139,-0.0068791967,-0.1579797576,IZ29_ventures_baseline_2015-03-24_11-05-26,2015-03-24_11-06-02,0.0229747372,-0.0102827711,0.0210986728,0.103473684,0.0210986728,-0.0102827711,IZ29_ventures_baseline_2015-03-27_11-36-10,2015-03-27_11-36-56,0.0301934217,-0.0153865704,0.0208737418,0.1621112446,0.0208737418,-0.0153865704,IZ29_ventures_baseline_2015-03-30_10-36-04,2015-03-30_10-36-47,0.0206861667,0.1504823106,-0.0069951252,0.0858436287,-0.0069951252,0.1504823106,IZ29_ventures_baseline_2015-03-30_15-02-22,2015-03-30_15-02-59,0.0141588095,-0.2040089402,0.0016342907,0.0983498781,0.0016342907,-0.2040089402,IZ29_ventures_baseline_2015-03-31_14-03-38,2015-03-31_14-04-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KJ24,4,0.0116958443,-0.222483414,-0.0359737282,0.0664429975,-0.0359737282,-0.222483414,KJ24_ventures_baseline_2015-03-24_13-45-10,2015-03-24_13-46-24,0.019588552,-0.0987039333,-0.0236245685,0.1696487536,-0.0236245685,-0.0987039333,KJ24_ventures_baseline_2015-03-27_12-36-05,2015-03-27_12-36-45,0.0392050866,-0.0640830861,-0.0571460947,0.1306335264,-0.0571460947,-0.0640830861,KJ24_ventures_baseline_2015-03-28_13-40-41,2015-03-28_13-41-32,0.0155497252,-0.1057261044,-0.0443665431,0.0562128817,-0.0443665431,-0.1057261044,KJ24_ventures_baseline_2015-03-31_12-06-57,2015-03-31_12-07-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BB21,5,0.012846909,-0.2186909613,-0.0140691973,0.0668833233,-0.0140691973,-0.2186909613,BB21_ventures_baseline_2015-03-24_15-00-27,2015-03-24_15-01-15,0.020031543,-0.1358069885,0.0325738984,0.1757796342,0.0325738984,-0.1358069885,BB21_ventures_baseline_2015-03-26_18-31-41,2015-03-26_18-32-22,0.0148671286,-0.1923499337,0.0143874093,0.1668398472,0.0143874093,-0.1923499337,BB21_ventures_baseline_2015-03-27_18-42-16,2015-03-27_18-43-01,0.0142573413,-0.3043904124,-0.0019602849,0.2494479107,-0.0019602849,-0.3043904124,BB21_ventures_baseline_2015-03-31_19-20-13,2015-03-31_19-21-11,0.0111604048,-0.2869041511,-0.0182487556,0.0904694372,-0.0182487556,-0.2869041511,BB21_ventures_baseline_2015-03-31_19-21-20,2015-03-31_19-21-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
